timestamp,video_pos_sec,person_id,camera_id,head_drop_angle,spine_angle,head_tilt_angle,wrist_activity,recline,perclos,ear,inactive_seconds,motion_score,shoulder_ear_ratio,z_max,z_baseline_ready,system_state,true_label
2026-03-11 07:33:19,0.0,73,second_floor_middle,77.7,9.7,8.2,0.1247,0.248,,,0.0,29.33,0.141,0.0,0,awake,
2026-03-11 07:33:29,1918.5,110,second_floor_middle,56.5,5.3,35.7,0.0485,0.171,,,0.0,42.82,0.109,0.0,0,awake,
2026-03-11 07:34:08,0.0,4,second_floor_middle,34.5,3.3,6.8,0.0519,0.212,,,0.0,31.97,0.083,0.0,0,awake,
2026-03-11 07:34:11,2028.8,188,second_floor_middle,73.3,8.9,12.8,0.0371,0.31,,,0.0,17.27,0.109,0.0,0,awake,
2026-03-11 07:34:45,0.0,1,second_floor_middle,74.0,3.9,17.8,0.0538,0.226,,,0.0,26.78,0.125,0.0,0,awake,
2026-03-11 07:34:45,0.0,48,second_floor_middle,61.8,13.2,14.1,0.1578,0.176,,,0.0,70.5,0.081,0.0,0,awake,
2026-03-11 07:35:03,2159.2,1,second_floor_middle,80.9,5.8,13.3,0.031,0.229,0.625,0.389,0.0,28.09,0.122,0.0,0,awake,
2026-03-11 07:35:05,0.0,2,second_floor_middle,68.3,4.9,13.0,0.0896,0.186,0.0,0.403,0.0,32.24,0.131,0.0,0,awake,
2026-03-11 07:35:15,2191.3,17,second_floor_middle,68.6,2.9,52.8,0.0721,0.164,,,0.0,51.39,0.101,0.0,0,awake,
2026-03-11 07:35:15,2190.0,56,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-11 07:35:54,2291.9,2,second_floor_middle,73.1,10.3,16.5,0.0429,0.208,,,0.0,46.89,0.139,0.0,0,awake,
2026-03-11 07:36:16,2355.2,10,second_floor_middle,66.4,8.5,25.8,0.2034,0.15,,,0.0,28.5,0.096,0.0,0,awake,
2026-03-11 07:36:23,2368.1,172,second_floor_middle,66.1,5.0,12.4,0.0539,0.15,,,0.0,36.43,0.086,0.0,0,awake,
2026-03-11 07:36:28,2387.3,139,second_floor_middle,,,,,,,,188.7,0.0,,,0,no_person,
2026-03-11 07:37:05,0.0,110,second_floor_middle,66.4,5.7,61.6,0.0491,0.192,,,0.0,21.94,0.12,0.0,0,awake,
