timestamp,video_pos_sec,person_id,camera_id,head_drop_angle,spine_angle,head_tilt_angle,wrist_activity,recline,perclos,ear,inactive_seconds,motion_score,shoulder_ear_ratio,z_max,z_baseline_ready,system_state,true_label
timestamp,video_pos_sec,person_id,camera_id,head_drop_angle,spine_angle,head_tilt_angle,wrist_activity,recline,perclos,ear,inactive_seconds,motion_score,shoulder_ear_ratio,z_max,z_baseline_ready,system_state,true_label
2026-03-12 04:25:46,0.0,10,second_floor_middle,56.7,4.5,6.7,0.0366,0.246,,,0.0,12.01,0.055,0.0,0,awake,
2026-03-12 04:25:51,0.0,19,second_floor_middle,74.7,8.3,8.8,0.0235,0.195,,,0.0,22.27,0.072,0.0,0,awake,
2026-03-12 04:25:52,207.8,1,second_floor_middle,66.1,8.6,12.6,0.0997,0.212,,,0.0,52.67,0.074,0.0,0,awake,
2026-03-12 04:25:52,0.0,2,second_floor_middle,61.2,20.6,14.6,0.2504,0.255,,,0.0,47.36,0.08,0.0,0,awake,
2026-03-12 04:25:55,0.0,7,second_floor_middle,32.2,19.2,9.4,0.5502,0.0,,,0.0,65.56,0.095,0.0,0,awake,
2026-03-12 04:26:05,0.0,2,second_floor_middle,70.1,3.2,15.4,0.0174,0.354,,,0.0,16.38,0.098,0.0,0,awake,
2026-03-12 04:26:05,0.0,3,second_floor_middle,85.8,25.8,19.2,,0.491,,,127.1,0.0,0.146,0.0,0,sleeping,
2026-03-12 04:26:05,0.0,5,second_floor_middle,88.4,2.4,33.0,0.1023,0.174,,,0.0,44.45,0.109,0.0,0,awake,
2026-03-12 04:26:10,0.0,10,second_floor_middle,51.1,20.2,21.7,0.0119,0.31,,,0.0,20.06,0.064,0.0,0,awake,
2026-03-12 04:26:16,0.0,1,second_floor_middle,67.1,1.9,19.7,0.025,0.199,,,0.0,14.32,0.12,0.0,0,awake,
2026-03-12 04:26:16,0.0,3,second_floor_middle,71.7,5.0,17.3,0.0387,0.357,,,0.0,32.2,0.017,0.0,0,awake,
2026-03-12 04:26:16,0.0,5,second_floor_middle,81.5,15.9,21.9,0.0726,0.287,,,0.0,35.88,0.126,0.0,0,awake,
2026-03-12 04:26:19,235.2,7,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-12 04:26:31,0.0,16,second_floor_middle,41.4,17.3,18.4,0.0094,0.297,,,0.0,18.47,0.075,0.0,0,awake,
2026-03-12 04:26:38,0.0,19,second_floor_middle,63.9,3.1,3.6,0.0065,0.21,,,0.0,12.54,0.07,0.0,0,awake,
2026-03-12 04:26:43,0.0,25,second_floor_middle,60.9,8.8,7.6,0.0106,0.24,,,0.0,6.56,0.106,0.0,0,awake,
2026-03-12 04:26:51,266.8,2,second_floor_middle,57.4,13.5,19.7,0.0091,0.25,0.391,0.2,0.0,21.56,0.073,0.0,0,awake,
2026-03-12 04:26:51,266.8,3,second_floor_middle,86.8,26.9,21.1,0.0094,0.476,,,0.0,23.73,0.132,0.0,0,awake,
2026-03-12 04:26:51,266.8,5,second_floor_middle,86.7,4.2,31.6,0.1121,0.184,0.0,0.585,0.0,48.09,0.12,0.0,0,awake,
2026-03-12 04:26:52,0.0,1,second_floor_middle,60.6,12.8,9.7,0.0312,0.221,,,0.0,33.51,0.096,0.0,0,awake,
2026-03-12 04:26:52,0.0,12,second_floor_middle,49.3,7.3,8.3,0.074,0.269,,,0.0,56.02,0.11,0.0,0,awake,
2026-03-12 04:27:00,0.0,1,second_floor_middle,67.3,1.9,19.0,0.016,0.206,,,0.0,14.03,0.12,0.0,0,awake,
2026-03-12 04:27:00,0.0,3,second_floor_middle,61.0,7.0,18.7,0.0125,0.324,,,0.0,20.64,0.085,0.0,0,awake,
2026-03-12 04:27:02,0.0,7,second_floor_middle,32.2,19.2,9.4,0.5502,0.0,,,0.0,65.56,0.095,0.0,0,awake,
2026-03-12 04:27:02,0.0,10,second_floor_middle,43.7,22.2,20.6,0.0045,0.365,,,0.0,10.89,0.063,0.0,0,awake,
2026-03-12 04:27:02,0.0,5,second_floor_middle,81.4,17.3,23.5,0.0161,0.292,0.2,0.621,0.0,9.02,0.115,0.0,0,awake,
2026-03-12 04:27:03,0.0,134,second_floor_middle,56.6,16.9,10.3,0.1345,0.221,,,0.0,57.52,0.101,0.0,0,awake,
2026-03-12 04:27:27,0.0,16,second_floor_middle,43.2,23.9,22.2,0.0177,0.381,,,0.0,19.01,0.079,0.0,0,awake,
2026-03-12 04:27:42,0.0,63,second_floor_middle,65.1,4.1,23.4,0.0926,0.344,,,0.0,70.93,0.063,0.0,0,awake,
2026-03-12 04:27:47,0.0,2,second_floor_middle,67.5,6.9,18.5,0.0034,0.312,,,0.0,11.08,0.106,0.0,0,awake,
2026-03-12 04:27:47,0.0,3,second_floor_middle,86.4,27.6,21.2,0.01,0.418,,,0.0,7.74,0.126,0.0,0,awake,
2026-03-12 04:27:47,0.0,5,second_floor_middle,84.4,8.0,29.0,0.0363,0.213,0.667,0.0,0.0,42.56,0.103,0.0,0,awake,
2026-03-12 04:27:49,0.0,140,second_floor_middle,71.3,2.0,14.1,0.144,0.236,,,0.0,42.16,0.097,0.0,0,awake,
2026-03-12 04:27:52,0.0,1,second_floor_middle,72.7,5.4,16.1,0.0027,0.216,0.5,0.333,0.0,17.38,0.131,0.0,0,awake,
2026-03-12 04:27:52,0.0,3,second_floor_middle,80.8,1.6,24.7,0.0211,0.308,,,0.0,8.96,0.114,0.0,0,awake,
2026-03-12 04:27:54,0.0,5,second_floor_middle,76.1,22.6,25.1,0.0275,0.298,,,0.0,24.35,0.127,0.0,0,awake,
2026-03-12 04:27:54,0.0,105,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-12 04:27:59,0.0,1,second_floor_middle,69.8,9.5,24.6,0.011,0.272,,,0.0,22.29,0.092,0.0,0,awake,
2026-03-12 04:28:01,0.0,10,second_floor_middle,45.6,28.6,22.3,0.0483,0.382,,,0.0,31.82,0.076,0.21,1,awake,
2026-03-12 04:28:09,0.0,134,second_floor_middle,63.9,6.0,15.0,0.0937,0.264,,,0.0,52.36,0.103,0.0,0,awake,
2026-03-12 04:28:23,0.0,16,second_floor_middle,45.5,32.6,20.6,0.0327,0.402,,,0.0,45.15,0.081,0.0,0,awake,
2026-03-12 04:28:27,362.7,116,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-12 04:28:29,0.0,19,second_floor_middle,69.8,3.8,4.8,0.0597,0.192,,,0.0,19.3,0.08,0.0,0,awake,
2026-03-12 04:28:34,0.0,2,second_floor_middle,65.1,1.2,16.6,0.012,0.312,,,0.0,15.13,0.107,0.0,0,awake,
2026-03-12 04:28:34,0.0,3,second_floor_middle,85.9,27.6,21.3,0.0323,0.406,,,0.0,31.88,0.129,0.0,0,awake,
2026-03-12 04:28:34,0.0,5,second_floor_middle,85.4,10.8,25.9,0.0625,0.23,,,0.0,29.25,0.13,0.0,0,awake,
2026-03-12 04:28:37,373.3,25,second_floor_middle,69.7,3.8,9.7,0.0449,0.261,,,0.0,14.04,0.093,0.0,0,awake,
2026-03-12 04:28:46,0.0,140,second_floor_middle,59.9,6.0,12.8,0.0467,0.216,,,0.0,26.8,0.137,0.0,0,awake,
2026-03-12 04:28:46,0.0,1,second_floor_middle,77.4,9.7,19.2,0.0484,0.228,0.5,0.583,0.0,41.27,0.143,0.0,0,awake,
2026-03-12 04:28:46,0.0,3,second_floor_middle,56.2,6.2,9.3,0.137,0.23,,,0.0,62.97,0.073,0.0,0,awake,
2026-03-12 04:28:47,0.0,5,second_floor_middle,65.8,11.8,11.8,0.1755,0.248,,,0.0,68.25,0.1,0.0,0,awake,
2026-03-12 04:28:51,0.0,10,second_floor_middle,51.5,20.7,19.3,0.3754,0.348,,,0.0,74.52,0.085,4.51,1,awake,
2026-03-12 04:29:06,0.0,199,second_floor_middle,52.2,5.4,9.9,0.1715,0.233,,,0.0,76.88,0.072,0.0,0,awake,
2026-03-12 04:29:09,0.0,192,second_floor_middle,66.0,9.6,9.1,0.2773,0.191,,,0.0,55.0,0.108,0.0,0,awake,
2026-03-12 04:29:13,0.0,200,second_floor_middle,70.7,4.0,4.7,0.2777,0.193,,,0.0,63.94,0.09,0.0,0,awake,
2026-03-12 04:29:28,0.0,16,second_floor_middle,43.9,22.1,17.3,0.0063,0.385,,,0.0,10.64,0.062,0.7,1,awake,
2026-03-12 04:29:29,0.0,2,second_floor_middle,66.8,2.4,10.4,0.2956,0.137,,,0.0,69.2,0.067,0.0,0,awake,
2026-03-12 04:29:29,0.0,3,second_floor_middle,85.3,27.8,21.0,0.0155,0.387,,,0.0,31.79,0.126,0.0,0,awake,
2026-03-12 04:29:29,0.0,5,second_floor_middle,75.4,12.5,18.1,0.1063,0.213,,,0.0,55.1,0.086,0.0,0,awake,
2026-03-12 04:29:38,0.0,192,second_floor_middle,67.4,2.9,11.9,0.2434,0.207,,,0.0,67.1,0.067,0.0,0,awake,
2026-03-12 04:29:40,0.0,63,second_floor_middle,69.5,6.9,2.9,0.2261,0.197,,,0.0,24.61,0.076,0.0,0,awake,
2026-03-12 04:29:41,0.0,1,second_floor_middle,79.2,13.8,19.9,0.0072,0.252,,,0.0,11.64,0.137,0.0,0,awake,
2026-03-12 04:29:41,0.0,3,second_floor_middle,65.2,33.0,24.2,0.4194,0.439,,,0.0,68.14,0.089,0.0,0,awake,
2026-03-12 04:29:43,0.0,5,second_floor_middle,43.4,4.0,16.6,0.0226,0.26,0.0,0.27,0.0,26.73,0.112,0.0,0,awake,
